lang,n,accuracy,macro_f1,micro_f1,f1_negative,f1_neutral,f1_positive
bn,16958,0.9122538035145654,0.4987774389119251,0.9122538035145654,0.0,0.5442359249329759,0.9520963918027995
en,12283,0.6597736709272979,0.6609062607391307,0.6597736709272979,0.6819855274850831,0.6470161436604389,0.65371711107187
